==========================================================
     YouTube 专用优选网速排名（第一行最适合看视频）
==========================================================

NO.1 | 流媒体网速: 26.59 MB/s | IP地址: [2a0e:97c0:3f0:1::46e]:443 | 地区: 香港
NO.636 | 流媒体网速: 3.27 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:40b5:2001]:443 | 地区: 英国
NO.637 | 流媒体网速: 3.27 MB/s | IP地址: [2a01:ecc0:500:54c::2]:8443 | 地区: 荷兰
NO.638 | 流媒体网速: 3.27 MB/s | IP地址: [2a01:ecc0:400:6ad::2]:8443 | 地区: 德国
NO.639 | 流媒体网速: 3.27 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fc42:d000]:443 | 地区: 德国
NO.640 | 流媒体网速: 3.27 MB/s | IP地址: [2603:c023:c:8011:0:58bb:d109:e1ba]:2053 | 地区: 日本-大阪
NO.641 | 流媒体网速: 3.26 MB/s | IP地址: [2a12:bec4:1ac1:54b::]:2083 | 地区: 波兰
NO.642 | 流媒体网速: 3.25 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:c1d4:f000]:443 | 地区: 德国
NO.643 | 流媒体网速: 3.22 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fbd4:5000]:443 | 地区: 德国
NO.644 | 流媒体网速: 3.21 MB/s | IP地址: [2a01:ecc0:4000:130::2]:443 | 地区: 荷兰
NO.645 | 流媒体网速: 3.20 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5f5c:d001]:443 | 地区: 荷兰
NO.646 | 流媒体网速: 3.19 MB/s | IP地址: [2a03:b0c0:0:1051::276c:f000]:443 | 地区: 荷兰
NO.647 | 流媒体网速: 3.19 MB/s | IP地址: [2a0d:2787:1e:708::a]:443 | 地区: 荷兰
NO.648 | 流媒体网速: 3.18 MB/s | IP地址: [2001:41d0:304:400::434a]:443 | 地区: 法国
NO.649 | 流媒体网速: 3.17 MB/s | IP地址: [2603:c021:8011:937e:0:9a33:e713:ab69]:443 | 地区: 日本
NO.650 | 流媒体网速: 3.17 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6abe:a001]:443 | 地区: 荷兰
NO.651 | 流媒体网速: 3.16 MB/s | IP地址: [2a02:c207:2319:2417::1]:8443 | 地区: 德国
NO.652 | 流媒体网速: 3.16 MB/s | IP地址: [2a01:ecc0:400:503::2]:8443 | 地区: 德国
NO.653 | 流媒体网速: 3.14 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:33d0:5001]:443 | 地区: 英国
NO.654 | 流媒体网速: 3.11 MB/s | IP地址: [2a01:ecc0:500:1bd::2]:2053 | 地区: 荷兰
NO.655 | 流媒体网速: 3.10 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fa45:7000]:443 | 地区: 德国
NO.656 | 流媒体网速: 3.10 MB/s | IP地址: [2a12:bec4:1bb0:1681::2]:2053 | 地区: 德国
NO.657 | 流媒体网速: 3.10 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b8e:f001]:443 | 地区: 英国
NO.658 | 流媒体网速: 3.09 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc1:b001]:443 | 地区: 英国
NO.659 | 流媒体网速: 3.08 MB/s | IP地址: [2603:c022:8000:4588:140:238:26:16]:443 | 地区: 韩国
NO.660 | 流媒体网速: 3.06 MB/s | IP地址: [2a01:ecc0:400:486::2]:8443 | 地区: 德国
NO.661 | 流媒体网速: 3.05 MB/s | IP地址: [2a12:bec4:1bb0:1577::2]:443 | 地区: 德国
NO.662 | 流媒体网速: 3.05 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2562:1]:443 | 地区: 英国
NO.663 | 流媒体网速: 3.03 MB/s | IP地址: [2a0d:d940:12:b2::2]:443 | 地区: 德国
NO.664 | 流媒体网速: 3.03 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc1:d001]:443 | 地区: 英国
NO.665 | 流媒体网速: 3.02 MB/s | IP地址: [2a03:b0c0:0:1051::2440:e000]:443 | 地区: 荷兰
NO.666 | 流媒体网速: 3.02 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:38db:f001]:443 | 地区: 英国
NO.667 | 流媒体网速: 3.02 MB/s | IP地址: [2001:41d0:ab00::4:0:16]:2053 | 地区: 法国
NO.668 | 流媒体网速: 3.02 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:7a13:8000]:443 | 地区: 德国
NO.669 | 流媒体网速: 3.02 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:faa5:5000]:443 | 地区: 德国
NO.670 | 流媒体网速: 3.00 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:fa45:1000]:443 | 地区: 德国
NO.671 | 流媒体网速: 2.99 MB/s | IP地址: [2603:c024:19:a401:0:1296:a018:5aef]:443 | 地区: 韩国
NO.672 | 流媒体网速: 2.97 MB/s | IP地址: [2603:c022:c007:3188::7290]:443 | 地区: 荷兰
NO.673 | 流媒体网速: 2.96 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5bcb:6001]:443 | 地区: 荷兰
NO.674 | 流媒体网速: 2.95 MB/s | IP地址: [2603:c023:4005:457e:0:5716:f83c:d2db]:443 | 地区: ORD
NO.675 | 流媒体网速: 2.95 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:df0:c000]:443 | 地区: 德国
NO.676 | 流媒体网速: 2.95 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:dcd0:4001]:443 | 地区: 荷兰
NO.677 | 流媒体网速: 2.94 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:e524:6001]:8443 | 地区: 荷兰
NO.678 | 流媒体网速: 2.94 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5c5b:c001]:443 | 地区: 荷兰
NO.679 | 流媒体网速: 2.94 MB/s | IP地址: [2a03:b0c0:0:1051::2dbe:c000]:443 | 地区: 荷兰
NO.680 | 流媒体网速: 2.93 MB/s | IP地址: [2a01:ecc0:1002:4b00::2]:2053 | 地区: 荷兰
NO.681 | 流媒体网速: 2.92 MB/s | IP地址: [2a12:bec4:1de0:471::2]:443 | 地区: 荷兰
NO.682 | 流媒体网速: 2.91 MB/s | IP地址: [2a13:36c0:1ff:1361::1]:443 | 地区: 荷兰
NO.683 | 流媒体网速: 2.91 MB/s | IP地址: [2a01:ecc0:cc0:c::2]:443 | 地区: 德国
NO.684 | 流媒体网速: 2.90 MB/s | IP地址: [2a01:ecc0:5000:1c1::2]:8443 | 地区: 荷兰
NO.685 | 流媒体网速: 2.89 MB/s | IP地址: [2001:41d0:20a:900::222e]:443 | 地区: 荷兰
NO.686 | 流媒体网速: 2.89 MB/s | IP地址: [2a01:ecc0:c80:13f::2]:443 | 地区: 荷兰
NO.687 | 流媒体网速: 2.88 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:60a8:f001]:443 | 地区: 荷兰
NO.688 | 流媒体网速: 2.88 MB/s | IP地址: [2a03:b0c0:0:1051::26c5:9000]:443 | 地区: 荷兰
NO.689 | 流媒体网速: 2.88 MB/s | IP地址: [2a03:b0c0:0:1051::2752:9000]:443 | 地区: 荷兰
NO.690 | 流媒体网速: 2.86 MB/s | IP地址: [2a03:b0c0:0:1051::2f24:9000]:443 | 地区: 荷兰
NO.691 | 流媒体网速: 2.86 MB/s | IP地址: [2a03:b0c0:0:1051::2dbe:9000]:443 | 地区: 荷兰
NO.692 | 流媒体网速: 2.86 MB/s | IP地址: [2a0d:d940:1a:f2a::2]:2083 | 地区: 德国
NO.693 | 流媒体网速: 2.85 MB/s | IP地址: [2a00:b703:fff1:162::1]:443 | 地区: 荷兰
NO.694 | 流媒体网速: 2.85 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:605c:d001]:443 | 地区: 荷兰
NO.695 | 流媒体网速: 2.85 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2836:8001]:443 | 地区: 英国
NO.696 | 流媒体网速: 2.84 MB/s | IP地址: [2a0c:db40:0:834b::2]:443 | 地区: 荷兰
NO.697 | 流媒体网速: 2.84 MB/s | IP地址: [2a03:b0c0:0:1051::2580:c000]:443 | 地区: 荷兰
NO.698 | 流媒体网速: 2.84 MB/s | IP地址: [2a01:ecc0:480:7d::2]:443 | 地区: 德国
NO.699 | 流媒体网速: 2.83 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6aae:1001]:443 | 地区: 荷兰
NO.700 | 流媒体网速: 2.83 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2587:9001]:443 | 地区: 英国
NO.701 | 流媒体网速: 2.83 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3b6e:9001]:443 | 地区: 英国
NO.702 | 流媒体网速: 2.82 MB/s | IP地址: [2a01:ecc0:1004:4e00::2]:443 | 地区: 荷兰
NO.703 | 流媒体网速: 2.81 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2561:f001]:443 | 地区: 英国
NO.704 | 流媒体网速: 2.81 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:7a13:d000]:443 | 地区: 德国
NO.705 | 流媒体网速: 2.81 MB/s | IP地址: [2a13:9500:126:0:b4a3:6092:8915:1]:2083 | 地区: 荷兰
NO.706 | 流媒体网速: 2.80 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:60a9:4001]:443 | 地区: 荷兰
NO.707 | 流媒体网速: 2.79 MB/s | IP地址: [2a01:230:4:a7b::2]:2053 | 地区: 德国
NO.708 | 流媒体网速: 2.79 MB/s | IP地址: [2602:f873:11:605:0:1:555e:2149]:443 | 地区: 美国-洛杉矶
NO.709 | 流媒体网速: 2.79 MB/s | IP地址: [2a12:bec4:1bb0:1173::2]:443 | 地区: 德国
NO.710 | 流媒体网速: 2.79 MB/s | IP地址: [2a01:ecc0:40:1083::2]:443 | 地区: 德国
NO.711 | 流媒体网速: 2.77 MB/s | IP地址: [2603:c024:4510:3f7e:0:64be:bd60:54fd]:443 | 地区: 新加坡
NO.712 | 流媒体网速: 2.77 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:6258:f000]:8443 | 地区: 德国
NO.713 | 流媒体网速: 2.75 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:6ebd:3001]:443 | 地区: 荷兰
NO.714 | 流媒体网速: 2.75 MB/s | IP地址: [2a01:ecc0:d80:22::2]:8443 | 地区: 德国
NO.715 | 流媒体网速: 2.75 MB/s | IP地址: [2a12:bec4:1821:153::a]:443 | 地区: 德国
NO.716 | 流媒体网速: 2.74 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2568:e001]:443 | 地区: 英国
NO.717 | 流媒体网速: 2.72 MB/s | IP地址: [2001:41d0:ab05::4:0:75d]:2053 | 地区: ZRH
NO.718 | 流媒体网速: 2.72 MB/s | IP地址: [2606:c700:1:59:5054:71ff:fec9:dcd4]:443 | 地区: 美国-洛杉矶
NO.719 | 流媒体网速: 2.72 MB/s | IP地址: [2a12:bec4:1ac0:1f1::]:443 | 地区: 荷兰
NO.720 | 流媒体网速: 2.71 MB/s | IP地址: [2a0c:db40:0:834b::2]:443 | 地区: 荷兰
NO.721 | 流媒体网速: 2.71 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:838b:a000]:8443 | 地区: 德国
NO.722 | 流媒体网速: 2.71 MB/s | IP地址: [2a12:bec4:1ac0:a61::]:8443 | 地区: 荷兰
NO.723 | 流媒体网速: 2.70 MB/s | IP地址: [2a03:b0c0:3:f0::1512:e000]:443 | 地区: 德国
NO.724 | 流媒体网速: 2.70 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2ef4:3001]:443 | 地区: 英国
NO.725 | 流媒体网速: 2.69 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:cbc:4000]:443 | 地区: 德国
NO.726 | 流媒体网速: 2.67 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f959:b000]:443 | 地区: 德国
NO.727 | 流媒体网速: 2.67 MB/s | IP地址: [2607:5300:229:83c::1]:443 | 地区: 加拿大-魁北克
NO.728 | 流媒体网速: 2.66 MB/s | IP地址: [2a12:bec4:1821:3a::b]:443 | 地区: 德国
NO.729 | 流媒体网速: 2.65 MB/s | IP地址: [2a01:f900:10:55e::1]:443 | 地区: IST
NO.730 | 流媒体网速: 2.65 MB/s | IP地址: [2a0f:cdc6:500:25fe::2]:443 | 地区: 德国
NO.731 | 流媒体网速: 2.64 MB/s | IP地址: [2a01:ecc0:1005:3400::2]:8443 | 地区: 荷兰
NO.732 | 流媒体网速: 2.61 MB/s | IP地址: [2a01:230:4:e01::2]:2053 | 地区: 德国
NO.733 | 流媒体网速: 2.60 MB/s | IP地址: [2602:f873:11:605:0:1:9c0c:a786]:443 | 地区: 美国-洛杉矶
NO.734 | 流媒体网速: 2.59 MB/s | IP地址: [2605:e440:3c::21]:8443 | 地区: SOF
NO.735 | 流媒体网速: 2.59 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:38db:8001]:443 | 地区: 英国
NO.736 | 流媒体网速: 2.58 MB/s | IP地址: [2a01:f500:2:4700::a]:443 | 地区: 奥地利
NO.737 | 流媒体网速: 2.57 MB/s | IP地址: [2401:c080:1c02:21e:5400:5ff:fed7:6204]:8443 | 地区: 韩国
NO.738 | 流媒体网速: 2.56 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b8b:7001]:443 | 地区: 英国
NO.739 | 流媒体网速: 2.56 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:26e3:5001]:443 | 地区: 英国
NO.740 | 流媒体网速: 2.55 MB/s | IP地址: [2a01:ecc0:40:116::2]:443 | 地区: 德国
NO.741 | 流媒体网速: 2.55 MB/s | IP地址: [2604:2dc0:101:200::301f]:443 | 地区: IAD
NO.742 | 流媒体网速: 2.53 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:c3f5:9000]:8443 | 地区: 德国
NO.743 | 流媒体网速: 2.53 MB/s | IP地址: [2a01:ecc0:40:a::2]:443 | 地区: 德国
NO.744 | 流媒体网速: 2.53 MB/s | IP地址: [2a01:ecc0:40:1b2f::2]:443 | 地区: 德国
NO.745 | 流媒体网速: 2.52 MB/s | IP地址: [2a01:ecc0:4c0:430::2]:443 | 地区: 德国
NO.746 | 流媒体网速: 2.52 MB/s | IP地址: [2a12:bec4:1ac1:84::]:443 | 地区: 波兰
NO.747 | 流媒体网速: 2.51 MB/s | IP地址: [2a0f:cdc6:500:741::2]:8443 | 地区: 德国
NO.748 | 流媒体网速: 2.51 MB/s | IP地址: [2a12:bec4:1ac1:493::]:8443 | 地区: 波兰
NO.749 | 流媒体网速: 2.51 MB/s | IP地址: [2a01:ecc0:40:1af9::2]:8443 | 地区: 德国
NO.750 | 流媒体网速: 2.48 MB/s | IP地址: [2a01:ecc0:40:20e::2]:443 | 地区: 德国
NO.751 | 流媒体网速: 2.48 MB/s | IP地址: [2a07:4680:0:6::177]:8443 | 地区: 荷兰
NO.752 | 流媒体网速: 2.48 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:698f:1]:443 | 地区: 荷兰
NO.753 | 流媒体网速: 2.48 MB/s | IP地址: [2a12:bec4:1bb0:1581::2]:8443 | 地区: 德国
NO.754 | 流媒体网速: 2.48 MB/s | IP地址: [2a01:ecc0:400:527::2]:443 | 地区: 德国
NO.755 | 流媒体网速: 2.47 MB/s | IP地址: [2a01:ecc0:200:1775::2]:443 | 地区: 德国
NO.756 | 流媒体网速: 2.47 MB/s | IP地址: [2a01:ecc0:40:13a3::2]:443 | 地区: 德国
NO.757 | 流媒体网速: 2.46 MB/s | IP地址: [2a12:bec4:1480:4b9::2]:443 | 地区: 德国
NO.758 | 流媒体网速: 2.45 MB/s | IP地址: [2a0a:eec0:2::221]:443 | 地区: 荷兰
NO.759 | 流媒体网速: 2.44 MB/s | IP地址: [2401:3bc0:100f:237:5054:ff:fe46:7edb]:443 | 地区: 德国
NO.760 | 流媒体网速: 2.42 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2b8b:2001]:443 | 地区: 英国
NO.761 | 流媒体网速: 2.41 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:3b6e:e001]:443 | 地区: 英国
NO.762 | 流媒体网速: 2.40 MB/s | IP地址: [2a0a:6044:6200:f2::]:8443 | 地区: 德国
NO.763 | 流媒体网速: 2.40 MB/s | IP地址: [2a01:230:4:df4::2]:2053 | 地区: 德国
NO.764 | 流媒体网速: 2.40 MB/s | IP地址: [2a0d:d940:1a:13d::2]:8443 | 地区: 德国
NO.765 | 流媒体网速: 2.39 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:13f0:6000]:443 | 地区: 德国
NO.766 | 流媒体网速: 2.39 MB/s | IP地址: [2400:8d60:4::1:6f03:fc98]:2053 | 地区: 德国
NO.767 | 流媒体网速: 2.38 MB/s | IP地址: [2400:8d60:4::5ef1:28a]:8443 | 地区: 德国
NO.768 | 流媒体网速: 2.38 MB/s | IP地址: [2603:c022:8010:1901:e023:6217:49f:c3fd]:443 | 地区: 韩国
NO.769 | 流媒体网速: 2.36 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f9e3:3000]:443 | 地区: 德国
NO.770 | 流媒体网速: 2.36 MB/s | IP地址: [2001:41d0:700:6532::c9fe:485c]:443 | 地区: 德国
NO.771 | 流媒体网速: 2.36 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2aa1:1]:443 | 地区: 英国
NO.772 | 流媒体网速: 2.34 MB/s | IP地址: [2a0c:480:26f::1]:8443 | 地区: 荷兰
NO.773 | 流媒体网速: 2.33 MB/s | IP地址: [2a01:230:4:eb5::2]:2053 | 地区: 德国
NO.774 | 流媒体网速: 2.32 MB/s | IP地址: [2a01:ecc0:200:11fc::2]:443 | 地区: 德国
NO.775 | 流媒体网速: 2.31 MB/s | IP地址: [2a01:ecc0:200:10af::2]:443 | 地区: 德国
NO.776 | 流媒体网速: 2.31 MB/s | IP地址: [2603:c020:8010:7600:0:34:bc1f:b47f]:443 | 地区: 德国
NO.777 | 流媒体网速: 2.30 MB/s | IP地址: [2a01:ecc0:b00:1e::2]:443 | 地区: 德国
NO.778 | 流媒体网速: 2.30 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:40b5:3001]:443 | 地区: 英国
NO.779 | 流媒体网速: 2.26 MB/s | IP地址: [2a0f:cdc6:500:1c0c::2]:443 | 地区: 德国
NO.780 | 流媒体网速: 2.26 MB/s | IP地址: [2a01:ecc0:40:a14::2]:443 | 地区: 德国
NO.781 | 流媒体网速: 2.26 MB/s | IP地址: [2a01:ecc0:200:c04::2]:2053 | 地区: 德国
NO.782 | 流媒体网速: 2.25 MB/s | IP地址: [2a0d:d940:1a:2ec::2]:443 | 地区: 德国
NO.783 | 流媒体网速: 2.25 MB/s | IP地址: [2a01:ecc0:40:11::2]:443 | 地区: 德国
NO.784 | 流媒体网速: 2.24 MB/s | IP地址: [2a03:b0c0:1:e0::c43e:c001]:8443 | 地区: 英国
NO.785 | 流媒体网速: 2.23 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:855:5000]:443 | 地区: 德国
NO.786 | 流媒体网速: 2.23 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2ef3:f001]:443 | 地区: 英国
NO.787 | 流媒体网速: 2.23 MB/s | IP地址: [2a0f:cdc6:500:17a3::2]:8443 | 地区: 德国
NO.788 | 流媒体网速: 2.23 MB/s | IP地址: [2a01:ecc0:200:1d2b::2]:8443 | 地区: 德国
NO.789 | 流媒体网速: 2.23 MB/s | IP地址: [2a01:ecc0:40:1ae8::2]:8443 | 地区: 德国
NO.790 | 流媒体网速: 2.22 MB/s | IP地址: [2602:f873:11:603:0:1:6077:8f80]:443 | 地区: 美国-洛杉矶
NO.791 | 流媒体网速: 2.22 MB/s | IP地址: [2a01:ecc0:40:19d8::2]:443 | 地区: 德国
NO.792 | 流媒体网速: 2.22 MB/s | IP地址: [2a01:ecc0:40:11cf::2]:2087 | 地区: 德国
NO.793 | 流媒体网速: 2.22 MB/s | IP地址: [2a01:ecc0:a:3e::2]:443 | 地区: 德国
NO.794 | 流媒体网速: 2.22 MB/s | IP地址: [2a01:ecc0:40:a26::2]:443 | 地区: 德国
NO.795 | 流媒体网速: 2.22 MB/s | IP地址: [2a01:ecc0:200:d3f::2]:443 | 地区: 德国
NO.796 | 流媒体网速: 2.22 MB/s | IP地址: [2a01:ecc0:40:33::2]:443 | 地区: 德国
NO.797 | 流媒体网速: 2.21 MB/s | IP地址: [2a01:ecc0:40:277::2]:8443 | 地区: 德国
NO.798 | 流媒体网速: 2.21 MB/s | IP地址: [2a01:ecc0:40:a3::2]:443 | 地区: 德国
NO.799 | 流媒体网速: 2.20 MB/s | IP地址: [2a01:ecc0:40:aaf::2]:443 | 地区: 德国
NO.800 | 流媒体网速: 2.20 MB/s | IP地址: [2604:a880:4:1d0:0:2:458:b000]:443 | 地区: 美国-圣何塞
NO.801 | 流媒体网速: 2.20 MB/s | IP地址: [2a01:ecc0:200:1241::2]:443 | 地区: 德国
NO.802 | 流媒体网速: 2.19 MB/s | IP地址: [2a03:6f02::fb10]:443 | 地区: 荷兰
NO.803 | 流媒体网速: 2.18 MB/s | IP地址: [2a01:ecc0:200:163b::2]:443 | 地区: 德国
NO.804 | 流媒体网速: 2.17 MB/s | IP地址: [2a02:c207:2316:6172::1]:443 | 地区: 德国
NO.805 | 流媒体网速: 2.17 MB/s | IP地址: [2a01:ecc0:40:1c7f::2]:8443 | 地区: 德国
NO.806 | 流媒体网速: 2.17 MB/s | IP地址: [2a0f:cdc6:500:2742::2]:443 | 地区: 德国
NO.807 | 流媒体网速: 2.17 MB/s | IP地址: [2a01:ecc0:40:1693::2]:8443 | 地区: 德国
NO.808 | 流媒体网速: 2.16 MB/s | IP地址: [2a01:ecc0:200:dd3::2]:8443 | 地区: 德国
NO.809 | 流媒体网速: 2.16 MB/s | IP地址: [2a01:ecc0:40:1997::2]:2053 | 地区: 德国
NO.810 | 流媒体网速: 2.16 MB/s | IP地址: [2a0a:eec0:2::221]:443 | 地区: 荷兰
NO.811 | 流媒体网速: 2.16 MB/s | IP地址: [2a01:ecc0:40:f5::2]:443 | 地区: 德国
NO.812 | 流媒体网速: 2.15 MB/s | IP地址: [2a0f:cdc6:500:278b::2]:443 | 地区: 德国
NO.813 | 流媒体网速: 2.15 MB/s | IP地址: [2a0f:cdc6:500:21e0::2]:443 | 地区: 德国
NO.814 | 流媒体网速: 2.15 MB/s | IP地址: [2a01:ecc0:40:1df5::2]:8443 | 地区: 德国
NO.815 | 流媒体网速: 2.15 MB/s | IP地址: [2602:fc16:2:672::376e]:443 | 地区: PRG
NO.816 | 流媒体网速: 2.14 MB/s | IP地址: [2a01:ecc0:200:144f::2]:443 | 地区: 德国
NO.817 | 流媒体网速: 2.14 MB/s | IP地址: [2a0f:cdc6:500:24b5::2]:443 | 地区: 德国
NO.818 | 流媒体网速: 2.14 MB/s | IP地址: [2a01:ecc0:200:1241::2]:8443 | 地区: 德国
NO.819 | 流媒体网速: 2.14 MB/s | IP地址: [2a0f:cdc6:500:20ad::2]:8443 | 地区: 德国
NO.820 | 流媒体网速: 2.14 MB/s | IP地址: [2a01:ecc0:40:18e5::2]:2053 | 地区: 瑞典
NO.821 | 流媒体网速: 2.14 MB/s | IP地址: [2a0f:cdc6:500:810::2]:443 | 地区: 德国
NO.822 | 流媒体网速: 2.14 MB/s | IP地址: [2a05:541:103:12::1]:443 | 地区: 德国
NO.823 | 流媒体网速: 2.13 MB/s | IP地址: [2a03:b0c0:3:f0:0:1:f9cf:c000]:443 | 地区: 德国
NO.824 | 流媒体网速: 2.13 MB/s | IP地址: [2a0f:cdc6:500:177f::2]:443 | 地区: 德国
NO.825 | 流媒体网速: 2.13 MB/s | IP地址: [2a01:ecc0:200:1334::2]:443 | 地区: 德国
NO.826 | 流媒体网速: 2.13 MB/s | IP地址: [2a03:b0c0:2:f0:0:1:5c18:1001]:443 | 地区: 荷兰
NO.827 | 流媒体网速: 2.12 MB/s | IP地址: [2a0f:cdc6:500:7c7::2]:443 | 地区: 德国
NO.828 | 流媒体网速: 2.12 MB/s | IP地址: [2001:19f0:4000:14d1:5400:6ff:fe50:6e8c]:443 | 地区: EWR
NO.829 | 流媒体网速: 2.11 MB/s | IP地址: [2a01:ecc0:200:1bcf::2]:2053 | 地区: 德国
NO.830 | 流媒体网速: 2.11 MB/s | IP地址: [2001:41d0:701:1100::bb9e]:8443 | 地区: 德国
NO.831 | 流媒体网速: 2.11 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:341b:a001]:443 | 地区: 英国
NO.832 | 流媒体网速: 2.10 MB/s | IP地址: [2a0a:79c0:1001::56]:443 | 地区: 德国
NO.833 | 流媒体网速: 2.10 MB/s | IP地址: [2a03:b0c0:0:1051::2651:e000]:443 | 地区: 荷兰
NO.834 | 流媒体网速: 2.09 MB/s | IP地址: [2a05:cfc0:3::1:2301:fb75]:443 | 地区: 德国
NO.835 | 流媒体网速: 2.09 MB/s | IP地址: [2a01:ecc0:200:129d::2]:8443 | 地区: 德国
NO.836 | 流媒体网速: 2.09 MB/s | IP地址: [2a01:ecc0:500:54c::2]:443 | 地区: 荷兰
NO.837 | 流媒体网速: 2.09 MB/s | IP地址: [2a01:ecc0:480:a5::2]:443 | 地区: 德国
NO.838 | 流媒体网速: 2.09 MB/s | IP地址: [2a01:8740:1:6bd::ace6]:443 | 地区: SOF
NO.839 | 流媒体网速: 2.07 MB/s | IP地址: [2a01:ecc0:1004:a00::2]:443 | 地区: 荷兰
NO.840 | 流媒体网速: 2.05 MB/s | IP地址: [2603:c02b:30a:d999::99]:2096 | 地区: 新加坡
NO.841 | 流媒体网速: 2.05 MB/s | IP地址: [2a01:ecc0:40:378::2]:443 | 地区: 瑞典
NO.842 | 流媒体网速: 2.04 MB/s | IP地址: [2a01:ecc0:40:1e3d::2]:443 | 地区: 德国
NO.843 | 流媒体网速: 2.03 MB/s | IP地址: [2a0d:d940:12:6a::2]:443 | 地区: 德国
NO.844 | 流媒体网速: 2.02 MB/s | IP地址: [2a01:ecc0:200:1126::2]:443 | 地区: 德国
NO.845 | 流媒体网速: 2.02 MB/s | IP地址: [2a07:4680:0:1::8ae]:443 | 地区: 荷兰
NO.846 | 流媒体网速: 2.01 MB/s | IP地址: [2a01:ecc0:40:1af2::2]:8443 | 地区: 德国
NO.847 | 流媒体网速: 2.01 MB/s | IP地址: [2603:c022:800e:7856:0:aa17:77d6:5d07]:443 | 地区: 韩国
NO.848 | 流媒体网速: 2.00 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:cea9:e000]:8443 | 地区: 德国
NO.849 | 流媒体网速: 2.00 MB/s | IP地址: [2a01:ecc0:1002:af00::2]:443 | 地区: 荷兰
NO.850 | 流媒体网速: 1.99 MB/s | IP地址: [2602:f873:11:605:0:1:db70:543e]:443 | 地区: 美国-洛杉矶
NO.851 | 流媒体网速: 1.99 MB/s | IP地址: [2a03:b0c0:3:f0:0:2:cbc:9000]:443 | 地区: 德国
NO.852 | 流媒体网速: 1.99 MB/s | IP地址: [2a01:ecc0:40:1c97::2]:443 | 地区: 德国
NO.853 | 流媒体网速: 1.98 MB/s | IP地址: [2a03:b0c0:1:e0:0:1:2bc1:a001]:443 | 地区: 英国
NO.854 | 流媒体网速: 1.98 MB/s | IP地址: [2602:fa59:5:d55::1]:8443 | 地区: 荷兰
NO.855 | 流媒体网速: 1.98 MB/s | IP地址: [2a01:ecc0:4c0:3f9::2]:443 | 地区: 德国
NO.856 | 流媒体网速: 1.98 MB/s | IP地址: [2a01:ecc0:40:1d::2]:443 | 地区: 德国
NO.857 | 流媒体网速: 1.97 MB/s | IP地址: [2a0f:cdc6:500:1c17::2]:2053 | 地区: 德国
NO.858 | 流媒体网速: 1.97 MB/s | IP地址: [2a01:ecc0:200:a67::2]:443 | 地区: 德国
